1663056710.234631 Connecting to host 192.168.3.1, port 5102
1663056710.234788 [  4] local 192.168.10.2 port 52116 connected to 192.168.3.1 port 5102
1663056710.234825 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663056710.234849 [  4]   0.00-0.10   sec   689 KBytes  56.4 Mbits/sec    0   14.1 KBytes       
1663056710.234872 [  4]   0.10-0.20   sec  2.82 MBytes   235 Mbits/sec    0   14.1 KBytes       
1663056710.234898 [  4]   0.20-0.30   sec  1.78 MBytes   149 Mbits/sec    0   14.1 KBytes       
1663056710.234923 [  4]   0.30-0.40   sec  1.04 MBytes  87.1 Mbits/sec    0   14.1 KBytes       
1663056710.234948 [  4]   0.40-0.50   sec  1.04 MBytes  87.1 Mbits/sec    0   14.1 KBytes       
1663056710.234972 [  4]   0.50-0.60   sec  1.04 MBytes  87.4 Mbits/sec    0   14.1 KBytes       
1663056710.234998 [  4]   0.60-0.70   sec  1.06 MBytes  88.7 Mbits/sec    0   14.1 KBytes       
1663056710.235022 [  4]   0.70-0.80   sec  1.06 MBytes  89.2 Mbits/sec    0   14.1 KBytes       
1663056710.235047 [  4]   0.80-0.90   sec  1.03 MBytes  86.1 Mbits/sec    0   14.1 KBytes       
1663056710.235072 [  4]   0.90-1.00   sec  1.15 MBytes  96.8 Mbits/sec    0   14.1 KBytes       
1663056710.235097 [  4]   1.00-1.10   sec  1022 KBytes  83.8 Mbits/sec    0   14.1 KBytes       
1663056710.235121 [  4]   1.10-1.20   sec  1.09 MBytes  91.1 Mbits/sec    0   14.1 KBytes       
1663056710.235146 [  4]   1.20-1.30   sec  1.13 MBytes  94.7 Mbits/sec    0   14.1 KBytes       
1663056710.235170 [  4]   1.30-1.40   sec  1.07 MBytes  90.0 Mbits/sec    0   14.1 KBytes       
1663056710.235195 [  4]   1.40-1.50   sec  1.08 MBytes  90.9 Mbits/sec    0   14.1 KBytes       
1663056710.235219 [  4]   1.50-1.60   sec  1.06 MBytes  88.8 Mbits/sec    0   14.1 KBytes       
1663056710.235244 [  4]   1.60-1.70   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663056710.235268 [  4]   1.70-1.80   sec  1.15 MBytes  96.0 Mbits/sec    0   14.1 KBytes       
1663056710.235293 [  4]   1.80-1.90   sec  1.04 MBytes  87.6 Mbits/sec    0   14.1 KBytes       
1663056710.235318 [  4]   1.90-2.00   sec  1.02 MBytes  85.8 Mbits/sec    0   14.1 KBytes       
1663056710.235342 [  4]   2.00-2.10   sec  1.08 MBytes  90.5 Mbits/sec    0   14.1 KBytes       
1663056710.235367 [  4]   2.10-2.20   sec  1.08 MBytes  90.8 Mbits/sec    0   14.1 KBytes       
1663056710.235391 [  4]   2.20-2.30   sec  1.08 MBytes  90.9 Mbits/sec    0   14.1 KBytes       
1663056710.235415 [  4]   2.30-2.40   sec  1.06 MBytes  89.3 Mbits/sec    0   14.1 KBytes       
1663056710.235440 [  4]   2.40-2.50   sec  1.09 MBytes  91.8 Mbits/sec    0   14.1 KBytes       
1663056710.235464 [  4]   2.50-2.60   sec  1.06 MBytes  89.0 Mbits/sec    0   14.1 KBytes       
1663056710.235489 [  4]   2.60-2.70   sec  1.13 MBytes  94.7 Mbits/sec    0   14.1 KBytes       
1663056710.235513 [  4]   2.70-2.80   sec  1.06 MBytes  88.8 Mbits/sec    0   14.1 KBytes       
1663056710.235538 [  4]   2.80-2.90   sec  1.12 MBytes  94.3 Mbits/sec    0   14.1 KBytes       
1663056710.235562 [  4]   2.90-3.00   sec  1.16 MBytes  97.4 Mbits/sec    0   14.1 KBytes       
1663056710.235587 [  4]   3.00-3.10   sec  1.02 MBytes  85.7 Mbits/sec    0   14.1 KBytes       
1663056710.235632 [  4]   3.10-3.20   sec  1.12 MBytes  94.2 Mbits/sec    0   14.1 KBytes       
1663056710.235655 [  4]   3.20-3.30   sec  1.15 MBytes  96.2 Mbits/sec    0   14.1 KBytes       
1663056710.235701 [  4]   3.30-3.40   sec  1.03 MBytes  86.8 Mbits/sec    0   14.1 KBytes       
1663056710.235725 [  4]   3.40-3.50   sec  1.18 MBytes  99.1 Mbits/sec    0   14.1 KBytes       
1663056710.235750 [  4]   3.50-3.60   sec  1.12 MBytes  93.8 Mbits/sec    0   14.1 KBytes       
1663056710.235774 [  4]   3.60-3.70   sec  1.01 MBytes  84.9 Mbits/sec    0   14.1 KBytes       
1663056710.235798 [  4]   3.70-3.80   sec  1.21 MBytes   102 Mbits/sec    0   14.1 KBytes       
1663056710.235823 [  4]   3.80-3.90   sec  1.11 MBytes  93.1 Mbits/sec    0   14.1 KBytes       
1663056710.235847 [  4]   3.90-4.00   sec  1.04 MBytes  87.6 Mbits/sec    0   14.1 KBytes       
1663056710.235871 [  4]   4.00-4.10   sec  1.17 MBytes  97.8 Mbits/sec    0   14.1 KBytes       
1663056710.235893 [  4]   4.10-4.20   sec  1.03 MBytes  86.7 Mbits/sec    0   14.1 KBytes       
1663056710.235917 [  4]   4.20-4.30   sec  1.17 MBytes  98.0 Mbits/sec    0   14.1 KBytes       
1663056710.235942 [  4]   4.30-4.40   sec  1.12 MBytes  93.8 Mbits/sec    0   14.1 KBytes       
1663056710.235967 [  4]   4.40-4.50   sec  1.10 MBytes  92.1 Mbits/sec    0   14.1 KBytes       
1663056710.235992 [  4]   4.50-4.60   sec  1.03 MBytes  86.6 Mbits/sec    0   14.1 KBytes       
1663056710.236016 [  4]   4.60-4.70   sec  1.14 MBytes  95.5 Mbits/sec    0   14.1 KBytes       
1663056710.236041 [  4]   4.70-4.80   sec  1.10 MBytes  92.6 Mbits/sec    0   14.1 KBytes       
1663056710.236065 [  4]   4.80-4.90   sec  1.12 MBytes  94.3 Mbits/sec    0   14.1 KBytes       
1663056715.434543 [  4]   4.90-5.00   sec  1.16 MBytes  97.1 Mbits/sec    0   14.1 KBytes       
1663056715.434613 [  4]   5.00-5.10   sec  1.05 MBytes  88.2 Mbits/sec    0   14.1 KBytes       
1663056715.434642 [  4]   5.10-5.20   sec  1.10 MBytes  92.1 Mbits/sec    0   14.1 KBytes       
1663056715.434665 [  4]   5.20-5.30   sec  1.18 MBytes  98.5 Mbits/sec    0   14.1 KBytes       
1663056715.434691 [  4]   5.30-5.40   sec  1.12 MBytes  93.7 Mbits/sec    0   14.1 KBytes       
1663056715.434716 [  4]   5.40-5.50   sec  1.02 MBytes  85.7 Mbits/sec    0   14.1 KBytes       
1663056715.434741 [  4]   5.50-5.60   sec  1.19 MBytes   100 Mbits/sec    0   14.1 KBytes       
1663056715.434766 [  4]   5.60-5.70   sec  1.12 MBytes  93.7 Mbits/sec    0   14.1 KBytes       
1663056715.434790 [  4]   5.70-5.80   sec  1.06 MBytes  88.7 Mbits/sec    0   14.1 KBytes       
1663056715.434815 [  4]   5.80-5.90   sec  1.16 MBytes  97.4 Mbits/sec    0   14.1 KBytes       
1663056715.434841 [  4]   5.90-6.00   sec  1.06 MBytes  89.1 Mbits/sec    0   14.1 KBytes       
1663056715.434866 [  4]   6.00-6.10   sec  1.08 MBytes  90.8 Mbits/sec    0   14.1 KBytes       
1663056715.434891 [  4]   6.10-6.20   sec  1.19 MBytes   100 Mbits/sec    0   14.1 KBytes       
1663056715.434917 [  4]   6.20-6.30   sec  1.13 MBytes  94.9 Mbits/sec    0   14.1 KBytes       
1663056715.434942 [  4]   6.30-6.40   sec  1.04 MBytes  87.6 Mbits/sec    0   14.1 KBytes       
1663056715.434966 [  4]   6.40-6.50   sec  1.19 MBytes  99.5 Mbits/sec    0   14.1 KBytes       
1663056715.434991 [  4]   6.50-6.60   sec  1.14 MBytes  95.4 Mbits/sec    0   14.1 KBytes       
1663056715.435016 [  4]   6.60-6.70   sec  1.09 MBytes  91.3 Mbits/sec    0   14.1 KBytes       
1663056715.435041 [  4]   6.70-6.80   sec  1.13 MBytes  94.6 Mbits/sec    0   14.1 KBytes       
1663056715.435066 [  4]   6.80-6.90   sec  1.11 MBytes  93.3 Mbits/sec    0   14.1 KBytes       
1663056715.435091 [  4]   6.90-7.00   sec  1.07 MBytes  89.6 Mbits/sec    0   14.1 KBytes       
1663056715.435116 [  4]   7.00-7.10   sec  1.15 MBytes  96.7 Mbits/sec    0   14.1 KBytes       
1663056715.435141 [  4]   7.10-7.20   sec  1.13 MBytes  94.8 Mbits/sec    0   14.1 KBytes       
1663056715.435166 [  4]   7.20-7.30   sec  1.05 MBytes  87.9 Mbits/sec    0   14.1 KBytes       
1663056715.435191 [  4]   7.30-7.40   sec  1.13 MBytes  94.8 Mbits/sec    0   14.1 KBytes       
1663056715.435216 [  4]   7.40-7.50   sec  1.12 MBytes  93.8 Mbits/sec    0   14.1 KBytes       
1663056715.435241 [  4]   7.50-7.60   sec  1.18 MBytes  99.0 Mbits/sec    0   14.1 KBytes       
1663056715.435266 [  4]   7.60-7.70   sec  1.11 MBytes  93.0 Mbits/sec    0   14.1 KBytes       
1663056715.435291 [  4]   7.70-7.80   sec  1.13 MBytes  94.7 Mbits/sec    0   14.1 KBytes       
1663056715.435316 [  4]   7.80-7.90   sec  1.11 MBytes  93.3 Mbits/sec    0   14.1 KBytes       
1663056715.435341 [  4]   7.90-8.00   sec  1.09 MBytes  91.3 Mbits/sec    0   14.1 KBytes       
1663056715.435366 [  4]   8.00-8.10   sec  1.12 MBytes  93.8 Mbits/sec    0   14.1 KBytes       
1663056715.435391 [  4]   8.10-8.20   sec  1.13 MBytes  94.3 Mbits/sec    0   14.1 KBytes       
1663056715.435416 [  4]   8.20-8.30   sec  1.13 MBytes  94.9 Mbits/sec    0   14.1 KBytes       
