1663196748.142093 Connecting to host 192.168.3.1, port 5101
1663196748.142254 [  4] local 192.168.10.2 port 58150 connected to 192.168.3.1 port 5101
1663196748.142290 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663196748.142316 [  4]   0.00-0.10   sec   720 KBytes  58.8 Mbits/sec    0   5.66 KBytes       
1663196748.142343 [  4]   0.10-0.20   sec  1.19 MBytes  99.4 Mbits/sec    0   5.66 KBytes       
1663196748.142370 [  4]   0.20-0.30   sec   219 KBytes  17.9 Mbits/sec    0   5.66 KBytes       
1663196748.142396 [  4]   0.30-0.40   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663196748.142422 [  4]   0.40-0.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.142448 [  4]   0.50-0.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.142475 [  4]   0.60-0.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142501 [  4]   0.70-0.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.142528 [  4]   0.80-0.90   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663196748.142554 [  4]   0.90-1.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142581 [  4]   1.00-1.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.142607 [  4]   1.10-1.20   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663196748.142633 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.142659 [  4]   1.30-1.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142685 [  4]   1.40-1.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142712 [  4]   1.50-1.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142738 [  4]   1.60-1.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142764 [  4]   1.70-1.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142790 [  4]   1.80-1.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142816 [  4]   1.90-2.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142842 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.142868 [  4]   2.10-2.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142893 [  4]   2.20-2.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142919 [  4]   2.30-2.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142945 [  4]   2.40-2.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142972 [  4]   2.50-2.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.142998 [  4]   2.60-2.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196748.143023 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196748.143050 [  4]   2.80-2.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
