1663195026.134281 Connecting to host 192.168.3.1, port 5101
1663195026.134468 [  4] local 192.168.10.2 port 57174 connected to 192.168.3.1 port 5101
1663195026.134504 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663195026.134528 [  4]   0.00-0.10   sec   230 KBytes  18.8 Mbits/sec    0   14.1 KBytes       
1663195026.134550 [  4]   0.10-0.20   sec   215 KBytes  17.6 Mbits/sec    0   14.1 KBytes       
1663195026.134580 [  4]   0.20-0.30   sec   276 KBytes  22.6 Mbits/sec    0   14.1 KBytes       
1663195026.134605 [  4]   0.30-0.40   sec   491 KBytes  40.2 Mbits/sec    0   14.1 KBytes       
1663195026.134630 [  4]   0.40-0.50   sec   430 KBytes  35.1 Mbits/sec    0   14.1 KBytes       
1663195026.134654 [  4]   0.50-0.60   sec   368 KBytes  30.2 Mbits/sec    0   14.1 KBytes       
1663195026.134678 [  4]   0.60-0.70   sec   583 KBytes  47.7 Mbits/sec    0   14.1 KBytes       
1663195026.134702 [  4]   0.70-0.80   sec   614 KBytes  50.3 Mbits/sec    0   14.1 KBytes       
1663195026.134726 [  4]   0.80-0.90   sec  30.7 KBytes  2.52 Mbits/sec    0   14.1 KBytes       
1663195026.134750 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134775 [  4]   1.00-1.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134799 [  4]   1.10-1.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134824 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195026.134848 [  4]   1.30-1.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134872 [  4]   1.40-1.50   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134896 [  4]   1.50-1.60   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195026.134920 [  4]   1.60-1.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134944 [  4]   1.70-1.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.134969 [  4]   1.80-1.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195026.134993 [  4]   1.90-2.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.135017 [  4]   2.00-2.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.135042 [  4]   2.10-2.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195026.135066 [  4]   2.20-2.30   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.135091 [  4]   2.30-2.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.135115 [  4]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195026.135139 [  4]   2.50-2.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.135163 [  4]   2.60-2.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195026.135187 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195026.135211 [  4]   2.80-2.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
