1663195320.150203 Connecting to host 192.168.3.1, port 5101
1663195320.150354 [  4] local 192.168.10.2 port 57340 connected to 192.168.3.1 port 5101
1663195320.150388 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663195320.150411 [  4]   0.00-0.10   sec   230 KBytes  18.8 Mbits/sec    0   14.1 KBytes       
1663195320.150432 [  4]   0.10-0.20   sec   215 KBytes  17.6 Mbits/sec    0   14.1 KBytes       
1663195320.150453 [  4]   0.20-0.30   sec   859 KBytes  70.4 Mbits/sec    0   14.1 KBytes       
1663195320.150477 [  4]   0.30-0.40   sec  1.02 MBytes  85.3 Mbits/sec    0   14.1 KBytes       
1663195320.150502 [  4]   0.40-0.50   sec  1.14 MBytes  95.7 Mbits/sec    0   14.1 KBytes       
1663195320.150526 [  4]   0.50-0.60   sec   460 KBytes  37.6 Mbits/sec    0   14.1 KBytes       
1663195320.150549 [  4]   0.60-0.70   sec  30.7 KBytes  2.52 Mbits/sec    0   14.1 KBytes       
1663195320.150573 [  4]   0.70-0.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150597 [  4]   0.80-0.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150621 [  4]   0.90-1.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195320.150645 [  4]   1.00-1.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150668 [  4]   1.10-1.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150692 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195320.150716 [  4]   1.30-1.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150739 [  4]   1.40-1.50   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150763 [  4]   1.50-1.60   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195320.150787 [  4]   1.60-1.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150811 [  4]   1.70-1.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150836 [  4]   1.80-1.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150862 [  4]   1.90-2.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195320.150886 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195320.150910 [  4]   2.10-2.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
